"LunaID","ymd","MRID","have_raw","made_folder","made_bids","n_bids_nii","final_rest_preproc"
"11703","20181019","20181019Luna1","2018-11-16 06:22:17","2018-11-16 06:22:17","2018-11-19 10:48:45",5,"2018-11-26 17:50:57"
"11701","20181015","20181015Luna1","2018-12-19 15:39:31","2018-12-19 15:39:31","2018-11-19 10:48:45",5,"2018-11-26 18:05:25"
"11681","20181012","20181012Luna1A","2019-01-07 14:27:00","2019-01-07 14:27:00","2019-01-23 16:34:19",0,NA
"11695","20181005","20181005Luna1","2019-01-24 17:10:22","2019-01-24 17:10:22","2019-01-25 09:47:52",5,"2019-01-25 11:59:14"
"11693","20181001","20181001Luna2","2018-12-19 15:38:52","2018-12-19 15:38:52","2019-02-11 10:53:31",5,"2019-04-03 12:11:18"
"11681","20180921","20180921Luna1","2018-12-19 15:38:15","2018-12-19 15:38:15","2019-01-23 16:34:19",3,"2019-01-23 18:40:52"
"11690","20180920","20180920Luna1A","2019-01-07 14:22:42","2019-01-07 14:22:42","2019-02-11 10:53:31",5,"2019-04-03 12:11:43"
"10129","20180917","20180917Luna2_10129","2018-11-16 00:13:00","2018-11-16 00:13:00","2018-11-19 10:48:45",5,"2018-11-26 11:40:21"
"11686","20180917","20180917Luna1","2018-11-15 21:50:57","2018-11-15 21:50:57","2018-11-19 10:48:45",5,"2018-11-26 15:59:39"
"11678","20180913","20180913Luna1","2018-11-15 19:43:40","2018-11-15 19:43:40","2018-11-19 10:48:45",5,"2018-11-26 15:42:14"
"11682","20180907","20180907Luna1","2018-11-15 15:45:56","2018-11-15 15:45:56","2018-11-19 10:48:45",5,"2018-11-26 15:42:14"
"11685","20180907","20180907Luna2","2018-12-19 15:36:01","2018-12-19 15:36:01","2018-11-19 10:48:45",5,"2018-11-26 15:41:43"
"11683","20180906","20180906Luna1A","2019-01-07 14:12:05","2019-01-07 14:12:05","2019-03-26 18:07:41",5,"2019-04-03 12:35:15"
"10997","20180818","20180818Luna1","2018-11-15 15:43:55","2018-11-15 15:43:55","2018-09-05 08:46:59",5,"2018-11-26 10:57:15"
"11657","20180817","20180817Luna1","2018-11-15 15:43:26","2018-11-15 15:43:26","2018-09-05 08:46:59",6,"2019-05-20 18:38:25"
"11672","20180816","20180816Luna1","2018-11-15 15:41:48","2018-11-15 15:41:48","2018-09-05 08:46:59",5,"2019-05-20 19:55:55"
"11680","20180816","20180816Luna2","2018-11-15 15:42:54","2018-11-15 15:42:54","2018-09-05 08:46:59",5,"2019-05-20 20:02:18"
"11543","20180804","20180804Luna1","2018-11-15 15:41:19","2018-11-15 15:41:19","2018-11-08 16:24:34",3,"2019-05-20 14:50:22"
"11676","20180803","20180803Luna1","2018-11-15 15:40:55","2018-11-15 15:40:55","2018-11-08 16:24:34",5,"2018-11-26 15:23:34"
"10173","20180802","20180802Luna2","2018-11-15 15:40:29","2018-11-15 15:40:29","2018-11-08 16:24:34",5,"2018-11-26 11:22:07"
"11674","20180802","20180802Luna1","2018-11-15 15:40:03","2018-11-15 15:40:03","2018-11-08 16:24:34",5,"2018-11-26 15:02:09"
"11673","20180730","20180730Luna1","2018-11-15 15:39:33","2018-11-15 15:39:33","2018-11-08 16:24:34",5,"2018-11-26 15:16:04"
"11675","20180730",NA,NA,NA,NA,0,NA
"11668","20180723","20180723Luna1","2018-11-15 15:39:20","2018-11-15 15:39:20","2018-11-08 16:24:34",4,NA
"11661","20180720","20180720Luna1a","2018-11-15 15:39:01","2018-11-15 15:39:01","2018-11-08 16:24:34",5,"2019-05-21 15:00:21"
"11670","20180713","20180713Luna1","2018-11-15 15:37:58","2018-11-15 15:37:58","2018-11-08 16:24:34",5,"2018-11-26 13:41:39"
"11664","20180712","20180712Luna1","2018-11-15 15:37:13","2018-11-15 15:37:13","2018-09-05 08:46:59",5,"2019-05-20 20:02:54"
"11669","20180712","20180712Luna2","2018-12-19 15:30:30","2018-12-19 15:30:30","2018-11-08 16:24:34",5,"2018-11-26 13:41:52"
"11655","20180702","20180702Luna1","2018-11-15 15:36:50","2018-11-15 15:36:50","2018-09-05 08:46:59",5,"2019-05-20 18:34:45"
"11668","20180702","20180702Luna2","2018-11-15 15:37:08","2018-11-15 15:37:08","2018-11-08 16:24:34",1,NA
"11667","20180629","20180629Luna1_DataLuna2","2018-11-15 15:38:24","2018-11-15 15:38:24","2018-11-08 16:24:34",5,"2018-11-26 13:40:50"
"11667","20180629","20180629Luna1","2018-12-19 15:29:16","2018-12-19 15:29:16","2018-11-08 16:24:34",5,"2018-11-26 13:40:50"
"11390","20180628","20180628Luna1","2018-12-19 15:28:24","2018-12-19 15:28:24","2019-03-26 18:07:41",5,"2019-04-03 12:30:06"
"11665","20180628",NA,NA,NA,"2019-01-09 16:50:07",5,"2019-01-10 10:39:13"
"11662","20180614",NA,NA,NA,"2019-01-09 16:22:46",5,"2019-02-08 20:22:45"
"11653","20180608","20180608Luna1","2018-11-15 15:32:44","2018-11-15 15:32:44","2018-06-13 14:59:23",5,"2019-05-20 18:40:07"
"11658","20180608","20180608Luna2","2018-12-19 15:26:55","2018-12-19 15:26:55","2018-09-05 08:46:59",5,"2019-05-20 19:58:45"
"11656","20180607","20180607Luna1","2018-12-19 15:26:10","2018-12-19 15:26:10","2018-06-13 14:59:23",5,"2019-05-20 18:30:54"
"11648","20180604","20180604Luna11648","2018-11-15 15:34:38","2018-11-15 15:34:38","2018-06-13 14:59:23",5,"2019-05-20 18:24:22"
"11537","20180525",NA,NA,NA,NA,0,NA
"11630","20180524","20180524Luna","2018-11-15 15:33:57","2018-11-15 15:33:57","2018-11-08 16:24:34",5,"2018-11-26 11:26:09"
"11649","20180521","20180521Luna1_11649","2018-11-15 15:34:18","2018-11-15 15:34:18","2018-11-08 16:24:34",5,"2018-11-26 13:36:06"
"11650","20180521","20180521Luna2","2018-11-15 15:33:35","2018-11-15 15:33:35","2018-11-08 16:24:34",5,"2018-11-26 13:32:53"
"11645","20180518",NA,NA,NA,NA,0,NA
"11631","20180517","20180517Luna2","2018-12-19 15:25:19","2018-12-19 15:25:19","2018-06-13 14:59:23",5,"2019-05-20 18:36:47"
"11640","20180514","20180514Luna2","2018-12-19 15:24:43","2018-12-19 15:24:43","2018-06-13 14:59:23",6,"2019-05-20 18:28:19"
"11647","20180514","20180514Luna1","2018-12-19 15:24:08","2018-12-19 15:24:08","2018-11-08 16:24:34",5,"2018-11-26 13:08:06"
"11299","20180511","20180511Luna","2018-12-19 15:23:33","2018-12-19 15:23:33","2018-11-08 16:24:34",5,"2018-11-26 11:27:09"
"11641","20180510","20180510Luna","2018-12-19 15:22:58","2018-12-19 15:22:58","2018-11-08 16:24:34",5,"2018-11-26 13:02:25"
"11633","20180426","20180426Luna1","2018-12-19 15:22:16","2018-12-19 15:22:16","2018-06-13 14:59:23",5,"2019-05-20 18:29:34"
"11638","20180419","20180419Luna1","2018-12-19 15:21:38","2018-12-19 15:21:38","2018-11-08 16:24:34",5,"2018-11-26 11:33:17"
"11632","20180416","20180416Luna1","2018-12-19 15:21:01","2018-12-19 15:21:01","2019-01-09 16:22:46",5,"2019-01-10 10:17:15"
"11634","20180409","20180409Luna1","2018-12-19 15:20:28","2018-12-19 15:20:28","2018-11-08 16:24:34",4,"2018-11-26 11:32:58"
"11627","20180323","20180323Luna2","2018-12-19 15:19:51","2018-12-19 15:19:51","2018-06-11 13:38:26",5,"2019-01-10 13:40:59"
"11629","20180323","20180323Luna1-11629","2018-12-19 15:19:08","2018-12-19 15:19:08","2018-05-21 08:51:36",5,NA
"11323","20180316","20180316Luna1","2018-12-19 15:18:40","2018-12-19 15:18:40","2018-05-21 08:51:36",5,NA
"11626","20180312","20180312Luna1","2018-12-19 15:18:05","2018-12-19 15:18:05","2018-05-21 08:51:36",5,"2019-05-20 17:18:27"
"10644","20180216","20180216Luna2","2018-12-19 15:17:34","2018-12-19 15:17:34","2018-09-14 08:42:15",5,"2018-11-26 10:51:27"
"11451","20180216","20180216Luna1","2018-12-19 15:17:01","2018-12-19 15:17:01","2019-01-09 16:22:46",5,"2019-05-20 14:07:12"
"10195","20180129","20180129Luna","2018-12-19 15:16:44","2018-12-19 15:16:44","2018-12-21 16:15:08",5,"2019-01-04 17:15:30"
"11537","NA","NA",NA,NA,NA,0,NA
"11575","NA","NA",NA,NA,NA,0,NA
"11645","NA","NA",NA,NA,NA,0,NA
"11662","NA","NA",NA,NA,"2019-01-09 16:22:46",0,NA
"11665","NA","NA",NA,NA,"2019-01-09 16:50:07",0,NA
"11675","NA","NA",NA,NA,NA,0,NA
"11705","NA","NA",NA,NA,NA,0,NA
"11707","NA","NA",NA,NA,NA,0,NA
"11735","NA","NA",NA,NA,NA,0,NA
"11737","NA","NA",NA,NA,NA,0,NA
"11738","NA","NA",NA,NA,NA,0,NA
"11739","NA","NA",NA,NA,"2019-07-29 14:57:55",0,NA
"11741","NA","NA",NA,NA,"2019-04-05 11:39:36",0,NA
"11742","NA","NA",NA,NA,"2019-07-29 14:57:55",0,NA
"11745","NA","NA",NA,NA,NA,0,NA
"11747","NA","NA",NA,NA,"2019-07-29 14:57:55",0,NA
"11753","NA","NA",NA,NA,NA,0,NA
"11754","NA","NA",NA,NA,NA,0,NA
"11756","NA","NA",NA,NA,NA,0,NA
"11758","NA","NA",NA,NA,"2019-07-29 14:57:55",0,NA
"11761","NA","NA",NA,NA,"2019-07-29 14:57:55",0,NA
"11769","NA","NA",NA,NA,NA,0,NA
"11770","NA","NA",NA,NA,NA,0,NA
"11772","NA","NA",NA,NA,NA,0,NA
"11776","NA","NA",NA,NA,NA,0,NA
